Id,date,ticker,SF1,SF2,SF3,SF4,SF5,SF6,SF7,alpha
1,21/08/18,$NTAP,-0.628651934,0.98889147,-0.055714478,0.774378771,0.551088847,-1.329228593,-0.995539498,2
2,11/10/18,$WYNN,1.315785931,1.438754002,0.187327182,0.608933159,-1.153029724,1.85944112,0.730995043,3
3,21/08/18,$DRI,-1.141388142,-1.455015677,0.332754543,0.674501682,0.111326137,-0.478596905,-1.488156712,1
4,10/07/18,$ge,-0.054839437,-1.454148681,-0.162266534,-0.681870355,0.307868519,-0.529986948,0.404172142,2
5,12/09/18,$FE,-0.686366161,0.838864754,0.07383016,0.67902375,0.329463474,1.262781899,-1.024041805,2
6,16/09/18,$F,1.371319462,0.288455737,-1.510710379,1.88727292,2.193964004,-1.266998248,0.476990106,1
7,25/09/18,$LOW,1.45973592,0.268391243,-1.02782091,0.22915946,1.096597978,1.363254793,1.41419788,1
8,27/07/18,$ILMN,0.381670303,0.664366084,-0.333336373,-1.471579943,0.317608796,1.28518263,1.303229365,3
9,24/08/18,$cmg,-1.189985875,1.669897437,-0.561872217,1.172238703,1.912740868,-1.530536257,-1.584684269,4
10,15/08/18,$NEE,0.166026537,-0.308584324,0.210582788,-0.151859081,-0.52325952,-0.045952659,0.178128043,3
11,16/09/18,$LEN,0.487447196,0.026027123,-0.10417016,-0.163339471,-0.113617923,0.648810702,0.550630716,2
12,31/07/18,$FTR,-0.144295624,-0.445018822,-0.662024872,0.290562528,1.396273441,1.119906891,-0.119290858,4
13,28/08/18,$tif,-0.522952654,-0.604785479,0.203266023,1.000817775,-0.005013584,-1.126427952,-1.109366452,2
14,11/07/18,$COST,-0.217055155,-0.270219571,0.019480435,-0.313066203,0.079054964,-1.511010663,-0.007147043,2
15,09/10/18,$LRCX,1.103749989,-0.710700609,-0.808426041,0.916806195,0.935977125,0.047748203,0.633167847,1
16,04/10/18,$OI,-1.348437724,0.551453811,-0.413223414,-0.212545896,1.637441885,-0.201330106,-0.935013277,1
17,26/08/18,$DLTR,-0.639905313,-0.195537151,1.163821123,-0.50061972,-1.892794709,-0.316631436,-0.574740233,1
18,24/09/18,$VZ,-1.260369773,-1.328502176,0.676061922,1.704123074,-0.417996668,-0.579834843,-2.300974444,3
19,26/10/18,$CBOE,-0.997478475,0.718775672,0.062029137,1.342520172,0.588855309,-1.864613772,-1.68862261,2
20,23/10/18,$CDNS,-0.119761877,-0.83561053,-0.025324313,-0.578772138,0.088660218,-0.125939585,0.248696186,3
21,06/08/18,$MYL,0.923283208,1.320985211,-0.05954187,-0.222036723,-0.477769408,-0.662700842,0.953230498,2
22,17/08/18,$WYNN,-0.411625496,2.664674536,0.620972131,0.998934617,-0.887507339,-1.532357339,-1.1249432,3
23,18/07/18,$BIG,-0.125021938,0.888518618,0.20225937,-0.338779306,-0.335850001,-0.267913659,0.038655075,1
24,26/07/18,$DNR,-0.292194182,-0.666313034,-0.005541261,0.286108681,0.211985206,1.37886014,-0.424115047,2
25,23/08/18,$AMZN,-2.587193188,-1.019666766,0.62307792,-0.370948648,0.389946009,-0.771846307,-2.201345202,3
26,06/09/18,$SYK,-1.45275825,1.21186571,-0.882678696,-1.007165846,2.566908436,-0.601191812,-0.422914823,2
27,19/10/18,$DAL,0.34907828,-0.58530194,-0.833783085,-1.084451911,1.335426186,-0.499635936,1.179517855,4
28,05/07/18,$ba,0.494473402,0.093045221,0.049566653,-0.94516115,-0.465430495,0.406992507,0.982467665,2
29,27/08/18,$PHM,-1.330645047,0.647694467,0.713669256,1.293652451,-0.472407409,-0.111165734,-2.126948492,3
30,08/09/18,$MO,-0.836954532,0.439079447,-0.134230238,0.456185078,0.814937692,-1.611176061,-0.965326971,2
31,26/09/18,$PKG,0.5697061,0.528733483,0.735300695,-0.354957485,-1.80995099,-0.590097121,0.508420459,1
32,01/10/18,$ABT,0.055284247,0.097348666,0.110721664,-0.259358537,-0.266126712,-1.372180116,0.173128991,1
33,04/08/18,$NVDA,1.229136912,-0.490930312,-1.230675547,0.845983409,1.674147513,0.53784588,0.899655356,1
34,11/07/18,$WFM,-1.603456952,0.901257923,-0.171370813,2.056678768,1.467586641,0.537691172,-2.580042279,2
35,31/10/18,$FISV,-0.767333824,1.554866904,-0.333530484,-0.184631822,1.119214994,-1.23859531,-0.467214562,2
36,11/10/18,$CMI,1.642548588,1.433179638,-0.792915949,0.79222965,0.559723064,-0.003609753,1.172777253,3
37,18/09/18,$NRG,3.26949611,-0.620445125,-0.450107714,-0.486471498,-1.207935724,1.848674366,3.261369307,1
38,16/07/18,$WIN,1.635300059,0.1100801,-0.377454832,-1.071851594,-0.35915507,0.655230622,2.168180238,2
39,21/07/18,$ALL,-1.158027146,-0.937525884,-0.155039713,1.360286544,1.11299366,1.458745058,-1.780022042,2
40,18/07/18,$FFIV,-0.421503676,0.531447715,-0.52990229,-0.85716213,1.242368099,-0.136559585,0.28966339,4
41,16/08/18,$PG,1.652614835,-0.951233436,-0.199018447,1.07979308,-0.583969473,1.214821549,0.847947389,3
42,03/09/18,$LB,-2.244923756,1.570692142,0.659250643,-1.752565311,0.019150404,1.043335409,-1.086797416,3
43,27/07/18,$PHM,0.180094296,-1.784036025,-0.271598754,2.004035093,0.539166114,0.282564339,-0.96769115,3
44,10/08/18,$WMB,-1.120678831,-1.237501769,0.23650641,-0.656991787,0.2031449,0.922098712,-0.647646977,1
45,02/07/18,$RTN,0.040744842,-0.060676076,-0.199821509,0.74310734,0.409053115,1.640683321,-0.354531041,1
46,06/07/18,$UNH,0.729768078,1.118722663,0.245776938,-1.267283489,-1.01477139,-0.020875543,1.326667332,1
47,03/07/18,$AAPL,0.696619499,-0.527323714,0.297286169,0.544565325,-0.982037486,0.028888385,0.200229204,2
48,12/10/18,$ETFC,0.963153828,0.81739841,0.581490661,0.996445305,-1.674261495,0.769752605,0.084814566,2
49,15/08/18,$HRL,-2.62952484,1.093527391,2.86672117,-2.984220423,-4.109167563,-1.304252542,-1.285990463,1
50,02/07/18,$CMS,0.925619282,-1.157431444,-0.055583061,0.807103855,-0.423260851,0.735324596,0.338727876,3
51,07/07/18,$GS,-1.029282073,0.604007959,1.500673663,-1.76815936,-2.381879683,-0.699391028,-0.24755516,1
52,22/08/18,$jwn,-0.317993634,0.196795365,-0.292768768,-0.256764512,0.753271977,-0.57686847,-0.043764638,2
53,28/08/18,$TXN,-0.403736651,-0.343514687,-0.055176807,0.059824658,0.364579529,0.732139899,-0.372442608,2
54,30/07/18,$PHM,-0.426517945,1.797536737,-0.157716126,0.442246461,0.601992776,1.104841958,-0.593082045,2
55,25/07/18,$ESRX,-0.28408915,1.938061796,0.047847071,-0.207540281,0.072508415,0.665852437,-0.136365932,2
56,04/07/18,$C,-0.341833492,-1.399625082,-0.034562334,0.019010462,0.283081327,-0.927389684,-0.2997227,2
